topology,h,spice_pct,model_pct
1ph,1,100.00,100.00,100.00
1ph,3,84.65,87.60,81.63
1ph,5,59.47,66.14,53.49
1ph,7,33.04,41.16,26.69
1ph,9,13.86,18.46,8.75
1ph,11,8.28,2.26,5.85
1ph,13,7.83,5.83,7.73
3ph,1,100.00,100.00
3ph,3,2.67,0.00
3ph,5,31.05,18.65
3ph,7,11.15,12.40
3ph,9,0.54,0.00
3ph,11,6.18,6.27
3ph,13,3.08,4.49
